ID_CLIENTE,CD_MAQUINA,DS_OBS,DT_CHECKLIST,ST_CHECKLIST
1,AR COND. SC 53,,2016-10-27T11:08:19,A
1,AR COND. SC 54,,2016-10-27T11:08:19,A
1,AR COND. SCA 01,,2016-10-31T10:47:05,A
1,AR COND. SCA 02,,2016-10-31T10:47:05,A
1,AR COND. SCA 03,,2016-10-31T10:47:05,A
1,AR COND. SCA 04,,2016-10-31T10:47:05,A
1,AR COND. SCA 06,,2016-10-31T10:47:05,A
1,AR COND. SCA 07,,2016-10-31T10:47:05,A
1,AR COND. SCA 08,,2016-10-31T10:47:05,A
1,AR COND. SCA 09,,2016-10-31T10:47:05,A
1,AR COND. SCA 10,,2016-10-31T10:47:05,A
1,AR COND. SCA 12,,2016-10-31T10:47:05,A
1,AR COND. SCA 13,,2016-10-31T10:47:05,A
1,AR COND. SCA 14,,2016-10-31T10:47:05,A
1,AR COND. SCA 15,,2016-10-31T10:47:05,A
1,AR COND. SCA 16,,2016-10-31T10:47:05,A
1,AR COND. SCA 17,,2016-10-31T10:47:05,A
1,AR COND. SCA 18,,2016-10-31T10:47:05,A
1,AR COND. SCA 19,,2016-10-31T10:47:05,A
1,AR COND. SCA 20,,2016-10-31T10:47:05,A
1,AR COND. SCA 21,,2016-10-31T10:47:05,A
1,AR COND. SCA 22,,2016-10-31T10:47:05,A
1,AR COND. SCA 23,,2016-10-31T10:47:05,A
1,AR COND. SCA 24,,2016-10-31T10:47:05,A
1,AR COND. SCA 25,,2016-10-31T10:47:05,A
1,AR COND. SCA 26,,2016-10-31T10:47:05,A
1,AR COND. SCA 27,,2016-10-31T10:47:05,A
1,AR COND. SS 01,,2016-10-31T09:55:00,A
1,AR COND. SS 02,,2016-10-31T09:55:00,A
1,AR COND. SS 03,,2016-10-31T09:55:00,A
1,AR COND. SS 07,,2016-09-21T13:53:03,A
1,AR COND. SS 13,,2016-10-31T09:55:00,A
1,AR COND. SS 14,,2016-10-31T09:55:00,A
